click at (168, 455) on 2024-10-05T09:33:49.083Z
mousedown at (69, 538) on 2024-10-05T09:33:50.608Z
mouseup at (69, 538) on 2024-10-05T09:33:50.613Z
click at (69, 538) on 2024-10-05T09:33:50.615Z
mousedown at (260, 420) on 2024-10-05T09:33:55.965Z
mouseup at (260, 420) on 2024-10-05T09:33:55.974Z
click at (260, 420) on 2024-10-05T09:33:55.975Z
mousedown at (260, 428) on 2024-10-05T09:33:56.648Z
mouseup at (260, 428) on 2024-10-05T09:33:56.652Z
click at (260, 428) on 2024-10-05T09:33:56.655Z
mousedown at (65, 459) on 2024-10-05T09:34:15.036Z
mouseup at (65, 459) on 2024-10-05T09:34:15.038Z
click at (65, 459) on 2024-10-05T09:34:15.041Z
mousedown at (59, 461) on 2024-10-05T09:34:16.229Z
mouseup at (59, 461) on 2024-10-05T09:34:16.234Z
click at (59, 461) on 2024-10-05T09:34:16.236Z
mousedown at (88, 401) on 2024-10-05T09:34:21.625Z
mouseup at (88, 401) on 2024-10-05T09:34:21.632Z
click at (88, 401) on 2024-10-05T09:34:21.633Z
mousedown at (70, 557) on 2024-10-05T09:34:27.784Z
mouseup at (70, 557) on 2024-10-05T09:34:27.790Z
click at (70, 557) on 2024-10-05T09:34:27.792Z
mousedown at (119, 446) on 2024-10-05T09:34:29.451Z
mouseup at (119, 446) on 2024-10-05T09:34:29.457Z
click at (119, 446) on 2024-10-05T09:34:29.459Z
mousedown at (222, 441) on 2024-10-05T09:34:36.504Z
mouseup at (222, 441) on 2024-10-05T09:34:36.509Z
click at (222, 441) on 2024-10-05T09:34:36.513Z
mousedown at (258, 480) on 2024-10-05T09:34:37.921Z
mouseup at (258, 480) on 2024-10-05T09:34:37.923Z
click at (258, 480) on 2024-10-05T09:34:37.925Z
mousedown at (256, 455) on 2024-10-05T09:34:38.469Z
mouseup at (256, 455) on 2024-10-05T09:34:38.473Z
click at (256, 455) on 2024-10-05T09:34:38.475Z
mousedown at (259, 461) on 2024-10-05T09:34:39.056Z
mouseup at (259, 461) on 2024-10-05T09:34:39.064Z
click at (259, 461) on 2024-10-05T09:34:39.068Z
mousedown at (253, 471) on 2024-10-05T09:34:39.654Z
mouseup at (253, 471) on 2024-10-05T09:34:39.658Z
click at (253, 471) on 2024-10-05T09:34:39.660Z
mousedown at (227, 480) on 2024-10-05T09:34:41.063Z
mouseup at (227, 480) on 2024-10-05T09:34:41.070Z
click at (227, 480) on 2024-10-05T09:34:41.071Z
mousedown at (227, 480) on 2024-10-05T09:34:41.223Z
mouseup at (227, 480) on 2024-10-05T09:34:41.228Z
click at (227, 480) on 2024-10-05T09:34:41.229Z
mousedown at (226, 491) on 2024-10-05T09:34:41.705Z
mouseup at (226, 491) on 2024-10-05T09:34:41.710Z
click at (226, 491) on 2024-10-05T09:34:41.712Z
mousedown at (226, 484) on 2024-10-05T09:34:41.888Z
mouseup at (226, 484) on 2024-10-05T09:34:41.893Z
click at (226, 484) on 2024-10-05T09:34:41.894Z
mousedown at (226, 484) on 2024-10-05T09:34:42.062Z
mouseup at (226, 484) on 2024-10-05T09:34:42.071Z
click at (226, 484) on 2024-10-05T09:34:42.073Z
mousedown at (226, 484) on 2024-10-05T09:34:42.233Z
mouseup at (226, 484) on 2024-10-05T09:34:42.239Z
click at (226, 484) on 2024-10-05T09:34:42.240Z
mousedown at (226, 483) on 2024-10-05T09:34:42.423Z
mouseup at (226, 483) on 2024-10-05T09:34:42.427Z
click at (226, 483) on 2024-10-05T09:34:42.429Z
mousedown at (224, 480) on 2024-10-05T09:34:42.614Z
mouseup at (224, 480) on 2024-10-05T09:34:42.617Z
click at (224, 480) on 2024-10-05T09:34:42.619Z
mousedown at (224, 480) on 2024-10-05T09:34:42.790Z
mouseup at (224, 480) on 2024-10-05T09:34:42.794Z
click at (224, 480) on 2024-10-05T09:34:42.795Z
mousedown at (223, 480) on 2024-10-05T09:34:42.986Z
mouseup at (223, 480) on 2024-10-05T09:34:42.990Z
click at (223, 480) on 2024-10-05T09:34:42.992Z
mousedown at (226, 482) on 2024-10-05T09:34:43.913Z
mouseup at (226, 482) on 2024-10-05T09:34:43.921Z
click at (226, 482) on 2024-10-05T09:34:43.923Z
mousedown at (226, 482) on 2024-10-05T09:34:44.105Z
mouseup at (226, 482) on 2024-10-05T09:34:44.110Z
click at (226, 482) on 2024-10-05T09:34:44.112Z
mousedown at (226, 482) on 2024-10-05T09:34:44.261Z
mouseup at (226, 482) on 2024-10-05T09:34:44.270Z
click at (226, 482) on 2024-10-05T09:34:44.271Z
mousedown at (226, 482) on 2024-10-05T09:34:44.447Z
mouseup at (226, 482) on 2024-10-05T09:34:44.453Z
click at (226, 482) on 2024-10-05T09:34:44.456Z
mousedown at (228, 490) on 2024-10-05T09:34:45.022Z
mouseup at (228, 490) on 2024-10-05T09:34:45.024Z
click at (228, 490) on 2024-10-05T09:34:45.027Z
mousedown at (224, 483) on 2024-10-05T09:34:45.214Z
mouseup at (224, 483) on 2024-10-05T09:34:45.220Z
click at (224, 483) on 2024-10-05T09:34:45.224Z
mousedown at (224, 482) on 2024-10-05T09:34:45.390Z
mouseup at (224, 482) on 2024-10-05T09:34:45.394Z
click at (224, 482) on 2024-10-05T09:34:45.395Z
mousedown at (228, 482) on 2024-10-05T09:34:55.491Z
mouseup at (228, 482) on 2024-10-05T09:34:55.494Z
click at (228, 482) on 2024-10-05T09:34:55.497Z
mousedown at (280, 442) on 2024-10-05T09:34:59.677Z
mouseup at (280, 442) on 2024-10-05T09:34:59.680Z
click at (280, 442) on 2024-10-05T09:34:59.682Z
mousedown at (242, 513) on 2024-10-05T09:35:00.295Z
mouseup at (242, 513) on 2024-10-05T09:35:00.297Z
click at (242, 513) on 2024-10-05T09:35:00.300Z
mousedown at (260, 521) on 2024-10-05T09:35:00.918Z
mouseup at (260, 521) on 2024-10-05T09:35:00.922Z
click at (260, 521) on 2024-10-05T09:35:00.926Z
mousedown at (247, 514) on 2024-10-05T09:35:01.339Z
mouseup at (247, 514) on 2024-10-05T09:35:01.343Z
click at (247, 514) on 2024-10-05T09:35:01.344Z
mousedown at (231, 412) on 2024-10-05T09:35:23.130Z
mouseup at (231, 412) on 2024-10-05T09:35:23.133Z
click at (231, 412) on 2024-10-05T09:35:23.134Z
mousedown at (233, 419) on 2024-10-05T09:35:25.797Z
mouseup at (233, 419) on 2024-10-05T09:35:25.803Z
click at (233, 419) on 2024-10-05T09:35:25.805Z
mousedown at (133, 424) on 2024-10-05T09:35:27.298Z
mouseup at (133, 424) on 2024-10-05T09:35:27.303Z
click at (133, 424) on 2024-10-05T09:35:27.305Z
mousedown at (943, 329) on 2024-10-05T09:36:38.864Z
mouseup at (1106, 368) on 2024-10-05T09:36:40.183Z
click at (1106, 368) on 2024-10-05T09:36:40.184Z
mousedown at (1042, 456) on 2024-10-05T09:36:40.896Z
mouseup at (1042, 456) on 2024-10-05T09:36:41.016Z
click at (1042, 456) on 2024-10-05T09:36:41.017Z
mousedown at (959, 435) on 2024-10-05T09:36:41.807Z
mouseup at (959, 435) on 2024-10-05T09:36:41.872Z
click at (959, 435) on 2024-10-05T09:36:41.872Z
mousedown at (122, 363) on 2024-10-05T09:37:43.228Z
mouseup at (122, 363) on 2024-10-05T09:37:43.231Z
click at (122, 363) on 2024-10-05T09:37:43.232Z
mousedown at (78, 385) on 2024-10-05T09:37:46.461Z
mouseup at (78, 385) on 2024-10-05T09:37:46.466Z
click at (78, 385) on 2024-10-05T09:37:46.467Z
